kind,time,count
dev_queue,541.6,57
dev_queue,542.7,58
dev_queue,542.72,59
dev_queue,544.39,60
dev_queue,545.05,61
dev_queue,546.2,62
dev_queue,546.34,63
dev_queue,546.35,64
dev_queue,550.34,62
dev_queue,550.53,63
dev_queue,555.45,61
dev_queue,555.47,62
dev_queue,559.56,62
dev_queue,561.42,62
dev_queue,565.4,63
dev_queue,566.03,63
dev_queue,567.01,64
dev_queue,570.67,64
dev_queue,570.78,65
dev_queue,573.52,64
dev_queue,573.52,65
dev_queue,575.59,65
dev_queue,575.74,66
dev_queue,580.49,65
dev_queue,581.77,66
dev_queue,582.03,67
dev_queue,583.2,67
dev_queue,587.16,68
dev_queue,589.74,68
dev_queue,597.67,65
dev_queue,601.47,66
dev_queue,602.11,67
dev_queue,604.51,67
dev_queue,605.11,68
dev_queue,608.22,68
dev_queue,608.99,69
dev_queue,610.78,70
dev_queue,614.57,69
dev_queue,615.14,70
dev_queue,618.25,71
dev_queue,619.14,70
dev_queue,619.19,71
dev_queue,620.52,72
dev_queue,620.95,73
dev_queue,621.65,74
dev_queue,622.81,75
dev_queue,628.3,73
dev_queue,633.18,73
dev_queue,637.24,73
dev_queue,638.69,73
dev_queue,640.51,74
dev_queue,640.55,75
dev_queue,640.83,76
dev_queue,644.58,76
dev_queue,648.11,75
dev_queue,652.68,76
dev_queue,652.8,77
dev_queue,658.69,76
dev_queue,659.84,76
dev_queue,663.21,75
dev_queue,663.96,75
dev_queue,664.42,76
dev_queue,666.3,76
dev_queue,666.5,76
dev_queue,666.64,77
dev_queue,669.79,76
dev_queue,674.73,76
dev_queue,682.25,74
dev_queue,689.48,72
dev_queue,694.05,72
dev_queue,696.58,72
dev_queue,698.69,73
dev_queue,699.37,74
dev_queue,707.01,71
dev_queue,708.45,72
dev_queue,708.87,73
dev_queue,717.27,71
dev_queue,717.66,72
dev_queue,718.24,72
dev_queue,719.62,72
dev_queue,720.0,73
dev_queue,723.06,73
dev_queue,724.22,74
dev_queue,726.86,74
dev_queue,728.65,73
dev_queue,729.82,74
dev_queue,731.13,75
dev_queue,731.55,76
dev_queue,733.7,76
dev_queue,735.88,77
dev_queue,735.96,78
dev_queue,738.87,78
dev_queue,744.9,78
dev_queue,750.55,76
dev_queue,750.67,77
dev_queue,750.7,78
dev_queue,752.66,79
dev_queue,753.07,80
dev_queue,757.14,78
dev_queue,757.24,79
dev_queue,761.22,79
dev_queue,762.87,80
dev_queue,763.19,80
dev_queue,765.21,81
dev_queue,766.06,81
dev_queue,773.8,79
dev_queue,774.16,80
dev_queue,774.48,81
dev_queue,776.12,82
dev_queue,777.05,83
dev_queue,780.95,83
dev_queue,782.09,83
dev_queue,782.73,84
dev_queue,784.83,84
dev_queue,786.7,85
dev_queue,788.35,86
dev_queue,793.55,84
dev_queue,794.02,85
dev_queue,800.69,82
dev_queue,802.26,82
dev_queue,803.19,82
dev_queue,806.08,82
dev_queue,806.4,83
dev_queue,809.34,84
dev_queue,814.58,83
dev_queue,818.95,82
dev_queue,822.41,81
dev_queue,823.3,82
dev_queue,826.23,82
dev_queue,827.14,83
dev_queue,827.91,84
dev_queue,830.97,83
dev_queue,831.2,84
dev_queue,834.96,85
dev_queue,835.04,86
dev_queue,835.98,86
dev_queue,836.19,87
dev_queue,837.6,88
dev_queue,838.19,89
dev_queue,840.72,89
dev_queue,840.9,90
dev_queue,844.03,90
dev_queue,844.33,91
dev_queue,844.74,92
dev_queue,845.95,92
dev_queue,846.61,93
dev_queue,847.53,93
dev_queue,848.66,94
dev_queue,849.15,95
dev_queue,856.9,93
dev_queue,857.6,94
dev_queue,859.5,95
dev_queue,860.89,94
dev_queue,862.09,94
dev_queue,864.41,95
dev_queue,866.84,95
dev_queue,868.34,94
dev_queue,869.54,95
dev_queue,871.18,96
dev_queue,872.25,96
dev_queue,874.68,96
dev_queue,875.25,97
dev_queue,875.39,98
dev_queue,876.11,99
dev_queue,881.41,98
dev_queue,886.12,99
dev_queue,887.39,100
dev_queue,893.87,95
dev_queue,895.04,95
dev_queue,895.61,96
dev_queue,899.56,97
dev_queue,904.17,96
dev_queue,904.33,97
dev_queue,906.33,97
dev_queue,908.99,96
dev_queue,913.78,95
dev_queue,914.46,96
dev_queue,915.48,96
dev_queue,916.94,96
dev_queue,919.89,97
dev_queue,920.13,98
dev_queue,921.3,99
dev_queue,921.55,99
dev_queue,923.93,100
dev_queue,927.29,100
dev_queue,927.8,100
dev_queue,929.51,100
dev_queue,932.93,99
dev_queue,933.09,100
dev_queue,936.95,100
dev_queue,937.04,101
dev_queue,937.76,101
dev_queue,937.84,102
dev_queue,940.35,102
dev_queue,941.1,103
dev_queue,941.38,104
dev_queue,941.5,105
dev_queue,942.97,106
dev_queue,943.02,107
dev_queue,943.41,108
dev_queue,944.67,109
dev_queue,945.92,109
dev_queue,948.97,109
dev_queue,951.97,110
dev_queue,953.03,111
dev_queue,953.83,112
dev_queue,957.54,111
dev_queue,959.16,112
dev_queue,960.0,113
dev_queue,965.05,112
dev_queue,966.62,112
dev_queue,967.32,113
