island,lat_s,long_w,area_km2,max_elevation_m,shape,features
Torgersen,-64.773,-64.075,0.13,30,Roughly circular,Rocky outcrop; Adélie penguin colony; divided into Visitor Zone and Restricted Zone
Dream,-64.733,-64.233,0.3,50,Irregular,Cave; seasonal waterfall; mossy patches and grass; Adélie and chinstrap penguin colonies
Biscoe (Point),-64.811,-63.774,0.59,23,Peninsula/island,Antarctic hair grass and pearlwort stands; Adélie and gentoo penguin colonies; USGS benchmark BIS1 at 23 m elevation
